2025-11-06 15:06:27: Training starting...
2025-11-06                                    15:06:40:New best reward -6.9                                    (+nan%)                                    at episode 0, saving model...
2025-11-06                                    15:06:40:New best reward -6.3                                    (-8.7%)                                    at episode 19, saving model...
2025-11-06                                    15:06:40:New best reward -5.7                                    (-9.5%)                                    at episode 26, saving model...
2025-11-06                                    15:06:40:New best reward -5.1                                    (-10.5%)                                    at episode 41, saving model...
2025-11-06                                    15:06:41:New best reward -1.5                                    (-70.6%)                                    at episode 88, saving model...
2025-11-06                                    15:06:42:New best reward 1.5                                    (-200.0%)                                    at episode 280, saving model...
2025-11-06                                    15:06:45:New best reward 3.3                                    (+120.0%)                                    at episode 574, saving model...
2025-11-06                                    15:06:45:New best reward 3.9                                    (+18.2%)                                    at episode 577, saving model...
2025-11-06                                    15:06:51:New best reward 4.8                                    (+23.1%)                                    at episode 1154, saving model...
2025-11-06                                    15:06:51:New best reward 5.0                                    (+4.2%)                                    at episode 1174, saving model...
2025-11-06                                    15:06:56:New best reward 6.0                                    (+20.0%)                                    at episode 1528, saving model...
2025-11-06                                    15:07:02:New best reward 6.3                                    (+5.0%)                                    at episode 1989, saving model...
2025-11-06                                    15:07:06:New best reward 8.4                                    (+33.3%)                                    at episode 2295, saving model...
2025-11-06                                    15:07:20:New best reward 8.7                                    (+3.6%)                                    at episode 3269, saving model...
2025-11-06                                    15:08:24:New best reward 12.9                                    (+48.3%)                                    at episode 7202, saving model...
2025-11-06                                    15:09:09:New best reward 20.4                                    (+58.1%)                                    at episode 9856, saving model...
2025-11-06                                    15:09:10:New best reward 20.5                                    (+0.5%)                                    at episode 9866, saving model...
2025-11-06                                    15:10:20:New best reward 22.4                                    (+9.3%)                                    at episode 13624, saving model...
2025-11-06                                    15:10:39:New best reward 26.9                                    (+20.1%)                                    at episode 14572, saving model...
2025-11-06                                    15:11:38:New best reward 32.1                                    (+19.3%)                                    at episode 17429, saving model...
2025-11-06                                    15:13:30:New best reward 32.5                                    (+1.2%)                                    at episode 22663, saving model...
2025-11-06                                    15:13:42:New best reward 34.2                                    (+5.2%)                                    at episode 23181, saving model...
2025-11-06                                    15:13:54:New best reward 36.4                                    (+6.4%)                                    at episode 23744, saving model...
2025-11-06                                    15:14:11:New best reward 46.9                                    (+28.8%)                                    at episode 24435, saving model...
2025-11-06                                    15:16:54:New best reward 57.6                                    (+22.8%)                                    at episode 31290, saving model...
2025-11-06                                    15:18:13:New best reward 59.9                                    (+4.0%)                                    at episode 34427, saving model...
